Wavelength,ZnS 6.25-12.5µm (MIRMIS),CdTe 12.5-25µm (MIRMIS),Mesh 25-50µm (MIRMIS),Mesh 50-100µm (MIRMIS),Mesh 100-200µm (Cardiff),Low-pass 200µm (model),8.5-9.2µm (model filter),6.6-8.2µm (model filter),NaCl Spectrum
6.31,75.65925173,0.025763,3.24E-05,0,0,0,0,0.027436026,60.41363343
6.32,79.15667684,0.024743,3.37E-05,0,0,0,0,0.048581432,61.11597966
6.33,81.99401448,0.0341863,2.59E-05,0,0,0,0,0.08299394,61.74947568
6.34,84.0328196,0.0215606,3.38E-05,0,0,0,0,0.137054951,62.38297169
6.35,85.3966461,0.018208,1.75E-05,0,0,0,0,0.219190685,62.90829963
6.36,86.06805076,0.0292818,2.83E-05,0,0,0,0,0.340093278,63.41725072
6.37,86.01984962,0.0181073,1.83E-05,0,0,0,0,0.512809876,63.91096561
6.38,85.53368038,0.0203275,3.01E-05,0,0,0,0,0.752655841,64.3130032
6.39,84.66153439,0.0308564,2.07E-05,0,0,0,0,1.076922442,64.71504078
6.4,83.49398777,0.0293582,2.05E-05,0,0,0,0,1.504370115,65.0887048
6.41,82.21936666,0.0150205,2.06E-05,0,0,0,0,2.05452275,65.41854038
6.42,81.00698173,0.0133655,2.25E-05,0,0,0,0,2.746802709,65.74837596
6.43,79.77115106,0.0136581,2.22E-05,0,0,0,0,3.599566666,66.00344332
6.44,78.60362634,0.0188074,1.74E-05,0,0,0,0,4.629115849,66.21179713
6.45,77.67854322,0.0122423,2.45E-05,0,0,0,0,5.848758908,66.42015093
6.46,76.99065279,0.011214,2.16E-05,0,0,0,0,7.268001257,66.60153601
6.47,76.56063773,0.00684595,2.29E-05,0,0,0,0,8.891922199,66.77691659
6.48,76.46267961,0.0113207,3.11E-05,0,0,0,0,10.72078278,66.95229716
6.49,76.67946266,0.0147056,3.40E-05,0,0,0,0,12.74988577,67.11144277
6.5,77.0496083,0.0111797,3.64E-05,0,0,0,0,14.9696872,67.27052078
6.51,77.73835216,0.0189025,4.37E-05,0,0,0,0,17.3661394,67.42036507
6.52,78.71015223,0.0165049,4.94E-05,0,0,0,0,19.92122953,67.51747696
6.53,79.665803,0.0111669,5.22E-05,0,0,0,0,22.61366721,67.61458885
6.54,80.75124889,0.0178702,5.53E-05,0,0,0,0,25.41966947,67.70952371
6.55,82.01398748,0.0173393,7.03E-05,0,0,0,0,28.31379115,67.79877765
6.56,83.30105717,0.0214105,7.26E-05,0,0,0,0,31.2697525,67.88803159
6.57,84.49394405,0.0183039,6.88E-05,0,0,0,0,34.26122291,67.96896644
6.58,85.61580924,0.0197929,8.03E-05,0,0,0,0,37.26252823,68.03630641
6.59,86.61336873,0.0168287,7.75E-05,0,0,0,0,40.24925878,68.10364638
6.6,87.38146852,0.0215538,8.32E-05,0,0,0,0,43.19876446,68.1585817
6.61,87.92296248,0.0211874,8.57E-05,0,0,0,0,46.09053169,68.19874259
6.62,88.207493,0.0166378,8.53E-05,0,0,0,0,48.90644418,68.23890348
6.63,88.22677915,0.0260478,9.08E-05,0,0,0,0,51.63093507,68.27287966
6.64,88.01511062,0.023969,8.09E-05,0,0,0,0,54.25104175,68.30073632
6.65,87.3711957,0.0100548,8.59E-05,0,0,0,0,56.75637748,68.32859299
6.66,86.59661477,0.00947065,8.32E-05,0,0,0,0,59.13903475,68.33961172
6.67,85.77311237,0.0219199,8.64E-05,0,0,0,0,61.39343567,68.3355026
6.68,84.78968727,0.00413287,7.54E-05,0,0,0,0,63.51614368,68.33139348
6.69,83.65503696,0.0184532,7.65E-05,0,0,0,0,65.50564986,68.33987123
6.7,82.54095735,0.0177565,7.78E-05,0,0,0,0,67.36214526,68.35978326
6.71,81.54108163,0.0120925,7.18E-05,0,0,0,0,69.08728888,68.37969528
6.72,80.61568177,0.0138233,6.58E-05,0,0,0,0,70.68397911,68.39496911
6.73,79.7909031,0.00877274,5.86E-05,0,0,0,0,72.15613468,68.40549234
6.74,79.10496614,0.0106848,5.46E-05,0,0,0,0,73.50848956,68.41601556
6.75,78.53046245,0.00721969,4.16E-05,0,0,0,0,74.74640469,68.43137162
6.76,78.07554549,0.012007,4.22E-05,0,0,0,0,75.87569846,68.45296808
6.77,77.7511164,0.00731843,2.68E-05,0,0,0,0,76.90249659,68.47456454
6.78,77.58947326,0.0108916,3.12E-05,0,0,0,0,77.83310155,68.4921169
6.79,77.64224354,0.0131198,2.04E-05,0,0,0,0,78.67388075,68.50218843
6.8,77.77423731,0.00310152,1.21E-05,0,0,0,0,79.43117274,68.51225996
6.81,77.98165185,0.0106993,3.11E-06,0,0,0,0,80.11120974,68.52348428
6.82,78.39038823,0.0119894,5.62E-06,0,0,0,0,80.72005539,68.5385169
6.83,78.84948117,0.00755327,7.23E-06,0,0,0,0,81.26355582,68.55354952
6.84,79.29659521,0.0170554,4.49E-06,0,0,0,0,81.74730265,68.57060577
6.85,79.86087133,0.0137087,1.43E-06,0,0,0,0,82.17660631,68.60820483
6.86,80.44161862,0.0120994,7.94E-06,0,0,0,0,82.55647815,68.64580389
