Wavelength,Ge 7µm ,Ge 7.25µm,Ge 7.5µm,Ge 7.8µm,Ge 8µm,Ge 8.28µm,Ge 8.55µm,Ge 8.75µm,Ge 9µm,Ge 9.5µm,Ge 10µm,ZnS 6.25-12.5µm,CdTe 12.5-25µm,Mesh 25-50µm,Mesh 50-100µm,Unfiltered,Perfect square filter 8.5-9.5µm (for 9µm NaCl peak),Mesh 100-200µm (Cardiff),Low pass filter?
5.61,9.34E-06,1.87E-05,0.000868481,0.000793773,0.000112062,0.000177432,0.00018677,0.000112062,2.80E-05,9.34E-06,9.34E-06,2.80E-05,0.00565296,1.16E-05,0,100,0,0,
5.62,9.33E-06,1.87E-05,0.000821443,0.000933458,0.000121349,0.000205361,0.000214695,0.000121349,2.80E-05,9.33E-06,9.33E-06,3.73E-05,0.00186289,3.36E-06,0,100,0,0,
5.63,9.33E-06,1.87E-05,0.000774416,0.001100977,0.000139955,0.000251918,0.000251918,0.000139955,1.87E-05,1.87E-05,9.33E-06,4.67E-05,0.0050263,1.16E-06,0,100,0,0,
5.64,9.33E-06,1.87E-05,0.000708986,0.001296697,0.00014926,0.000307849,0.00029852,0.000167918,9.33E-06,1.87E-05,9.33E-06,5.60E-05,0.00609016,4.60E-06,0,100,0,0,
5.65,9.34E-06,1.87E-05,0.000635095,0.00152236,0.000168113,0.000382925,0.000364246,0.000205472,9.34E-06,1.87E-05,9.34E-06,6.54E-05,0.00331439,4.28E-07,0,100,0,0,
5.66,9.34E-06,1.87E-05,0.000551024,0.001755805,0.000196127,0.00045763,0.000438951,0.000242824,9.34E-06,1.87E-05,9.34E-06,8.41E-05,0.00468689,1.17E-05,0,100,0,0,
5.67,9.33E-06,1.87E-05,0.000457389,0.001969572,0.000233362,0.00052273,0.000504061,0.000289368,9.33E-06,9.33E-06,9.33E-06,0.000102679,0.00600527,9.09E-07,0,100,0,0,
5.68,9.33E-06,1.87E-05,0.000373328,0.002127972,0.000279996,0.000569326,0.000559993,0.000335996,9.33E-06,9.33E-06,9.33E-06,0.000139998,0.00250248,4.06E-07,0,100,0,0,
5.69,9.34E-06,2.80E-05,0.000298764,0.002222056,0.000345446,0.000578855,0.000588191,0.000373455,0,9.34E-06,9.34E-06,0.000177391,0.00361663,1.51E-05,0,100,0,0,
5.7,9.33E-06,2.80E-05,0.000233323,0.002221231,0.000410648,0.000550641,0.00057864,0.000382649,0,9.33E-06,9.33E-06,0.000233323,0.00542664,9.85E-06,0,100,0,0,
5.71,9.33E-06,2.80E-05,0.000195992,0.002174579,0.000475981,0.000494647,0.000531979,0.000373318,0,9.33E-06,9.33E-06,0.000317321,0.0125955,3.63E-06,0,100,0,0,
5.72,9.33E-06,2.80E-05,0.000158649,0.002081098,0.000522608,0.000438617,0.000475946,0.000345294,0,9.33E-06,9.33E-06,0.000419952,0.0121892,1.09E-05,0,100,0,0,
5.73,9.34E-06,2.80E-05,0.000130748,0.001979895,0.000541669,0.000392243,0.000420261,0.000308191,0,9.34E-06,9.34E-06,0.000560348,0.00751248,8.78E-06,0,100,0,0,
5.74,9.35E-06,2.80E-05,0.000112148,0.001897162,0.000532701,0.000345788,0.000373825,0.000271023,0,9.35E-06,9.35E-06,0.000756996,0.000658594,6.02E-06,0,100,0,0,
5.75,9.34E-06,2.80E-05,9.34E-05,0.001831147,0.000485815,0.000308305,0.000336333,0.000233565,0,9.34E-06,9.34E-06,0.001037027,0.00674277,1.68E-05,0,100,0,0,
5.76,9.33E-06,1.87E-05,8.39E-05,0.001790765,0.000438364,0.000279807,0.000298461,0.000205192,0,0,0,0.001454996,9.48E-05,1.07E-05,0,100,0,0,
5.77,9.34E-06,1.87E-05,7.47E-05,0.00180189,0.000382785,0.000261414,0.000280087,0.000186724,0,0,0,0.002063304,0.00942383,5.33E-06,0,100,0,0,
5.78,9.34E-06,1.87E-05,6.54E-05,0.001839594,0.000336169,0.000242789,0.000261465,0.000168085,0,0,0,0.002960159,0.00942488,1.53E-05,0,100,0,0,
5.79,9.33E-06,1.87E-05,6.53E-05,0.001912621,0.000298555,0.000233246,0.000251906,0.000158608,0,0,0,0.004235755,0.00938334,2.20E-06,0,100,0,0,
5.8,9.33E-06,1.87E-05,6.53E-05,0.00202463,0.000270573,0.000223922,0.000242582,0.000149281,0,9.33E-06,0,0.006129869,0.0254305,5.58E-06,0,100,0,0,
5.81,9.33E-06,9.33E-06,6.53E-05,0.002174888,0.000242691,0.000224023,0.000242691,0.000140014,0,9.33E-06,0,0.009063591,0.00208462,1.60E-05,0,100,0,0,
5.82,9.33E-06,9.33E-06,6.53E-05,0.002323098,0.000223913,0.000233243,0.000242572,0.000139946,0,9.33E-06,0,0.013574728,0.00351018,4.25E-06,0,100,0,0,
5.83,9.33E-06,9.33E-06,6.53E-05,0.002462716,0.000214555,0.000233212,0.000251869,0.000139927,0,9.33E-06,0,0.020531962,0.00844554,7.54E-06,0,100,0,0,
5.84,9.33E-06,9.33E-06,6.53E-05,0.002556231,0.000205245,0.000242562,0.000261221,0.00013994,0,9.33E-06,0,0.031262525,0.00863679,6.05E-07,0,100,0,0,
5.85,1.87E-05,9.33E-06,6.53E-05,0.002575396,0.000205285,0.000261272,0.000270603,0.000139967,9.33E-06,9.33E-06,0,0.047598176,0.000924211,3.47E-06,0,100,0,0,
5.86,1.87E-05,9.33E-06,6.53E-05,0.002520353,0.000196027,0.000289374,0.000298709,0.000149354,9.33E-06,9.33E-06,9.33E-06,0.071839405,0.0138953,8.91E-06,0,100,0,0,
5.87,1.87E-05,9.33E-06,6.53E-05,0.002407117,0.000205258,0.000317217,0.000317217,0.000158608,9.33E-06,1.87E-05,9.33E-06,0.107405912,0.00186405,1.83E-07,0,100,0,0,
5.88,2.79E-05,9.31E-06,5.59E-05,0.00228168,0.000204886,0.000353893,0.000353893,0.000167634,9.31E-06,1.86E-05,9.31E-06,0.157603527,0.00201967,8.47E-07,0,100,0,0,
5.89,2.80E-05,9.33E-06,4.67E-05,0.002118274,0.000223958,0.00041059,0.000401259,0.000186632,9.33E-06,2.80E-05,9.33E-06,0.226897903,0.0147854,8.52E-07,0,100,0,0,
5.9,3.74E-05,9.34E-06,4.67E-05,0.001962419,0.000233621,0.000476587,0.000457898,0.000214932,9.34E-06,3.74E-05,9.34E-06,0.31462241,0.00507484,1.31E-06,0,100,0,0,
5.91,3.73E-05,9.33E-06,3.73E-05,0.001819897,0.000251986,0.000559968,0.00053197,0.000242653,9.33E-06,3.73E-05,9.33E-06,0.417503121,0,2.27E-06,0,100,0,0,
5.92,3.73E-05,9.33E-06,2.80E-05,0.001726929,0.000289377,0.000672102,0.000625428,0.000280043,1.87E-05,2.80E-05,1.87E-05,0.534013215,0.00414366,6.33E-06,0,100,0,0,
5.93,3.74E-05,1.87E-05,2.80E-05,0.001692336,0.000327247,0.000804093,0.000747994,0.000327247,1.87E-05,2.80E-05,1.87E-05,0.663143076,0.0111471,5.74E-06,0,100,0,0,
5.94,3.74E-05,1.87E-05,1.87E-05,0.001644913,0.00038319,0.00098134,0.000897225,0.000392536,2.80E-05,1.87E-05,1.87E-05,0.803997822,0.00263605,8.06E-06,0,100,0,0,
5.95,3.73E-05,1.87E-05,1.87E-05,0.001548669,0.000457137,0.001175495,0.001072873,0.000466466,3.73E-05,9.33E-06,1.87E-05,0.960034601,0.0138409,1.11E-05,0,100,0,0,
5.96,2.80E-05,2.80E-05,1.87E-05,0.00136248,0.000559923,0.001390476,0.001278492,0.000550591,4.67E-05,9.33E-06,1.87E-05,1.140228052,0.00466988,1.05E-05,0,100,0,0,
5.97,2.80E-05,2.80E-05,1.87E-05,0.001129675,0.000700212,0.001596483,0.001503121,0.000653531,7.47E-05,9.34E-06,9.34E-06,1.35047511,0.005957,2.00E-06,0,100,0,0,
5.98,2.80E-05,3.73E-05,9.33E-06,0.000877304,0.000877304,0.001754609,0.001717277,0.000765308,9.33E-05,9.33E-06,9.33E-06,1.597972713,0.00624651,1.74E-07,0,100,0,0,
5.99,1.86E-05,4.66E-05,9.32E-06,0.000652557,0.001090703,0.001845804,0.001873771,0.000857646,0.000121189,9.32E-06,9.32E-06,1.89157653,0.00590495,1.07E-05,0,100,0,0,
6,1.86E-05,4.66E-05,9.32E-06,0.000484801,0.001342525,0.001855296,0.001967173,0.000932309,0.000139846,0,9.32E-06,2.245597472,0.0054642,5.83E-06,0,100,0,0,
6.01,1.86E-05,4.66E-05,9.32E-06,0.000354242,0.001575444,0.001789853,0.001985619,0.000960182,0.000139832,0,9.32E-06,2.653653395,0.00677271,2.35E-06,0,100,0,0,
6.02,1.86E-05,4.66E-05,9.32E-06,0.000270347,0.001752596,0.001696662,0.001939043,0.000960199,0.00012119,0,9.32E-06,3.137772058,0.00751804,8.46E-06,0,100,0,0,
6.03,1.87E-05,4.66E-05,9.33E-06,0.000205181,0.001799994,0.001594813,0.001874605,0.000923313,0.00010259,0,9.33E-06,3.71000183,0.00926032,7.27E-06,0,100,0,0,
6.04,1.87E-05,3.73E-05,9.34E-06,0.000168049,0.001708494,0.001493766,0.001792519,0.000877587,8.40E-05,0,9.34E-06,4.382446861,0.000313573,1.47E-06,0,100,0,0,
6.05,1.87E-05,3.73E-05,1.87E-05,0.000130669,0.001502698,0.001418696,0.001726702,0.000830684,7.47E-05,0,9.33E-06,5.156334992,0.00215186,6.15E-06,0,100,0,0,
6.06,1.86E-05,3.73E-05,1.86E-05,0.000111873,0.001239928,0.001361124,0.001659452,0.000783112,6.53E-05,0,9.32E-06,6.038895611,0,2.81E-06,0,100,0,0,
6.07,1.87E-05,2.80E-05,1.87E-05,9.33E-05,0.000961259,0.001315898,0.001614542,0.000746609,5.60E-05,0,0,7.054717396,0.000644071,6.82E-06,0,100,0,0,
6.08,1.87E-05,2.80E-05,1.87E-05,7.46E-05,0.000708825,0.001296403,0.001594856,0.000718152,4.66E-05,0,0,8.182058718,0.00312666,6.26E-06,0,100,0,0,
6.09,2.80E-05,1.86E-05,1.86E-05,5.59E-05,0.000522134,0.001296011,0.001585049,0.000699286,4.66E-05,0,9.32E-06,9.434742451,0.00274255,9.18E-06,0,100,0,0,
6.1,2.80E-05,1.87E-05,1.87E-05,4.66E-05,0.000382428,0.001333833,0.00160433,0.000690235,4.66E-05,0,9.33E-06,10.81659106,0.00433578,7.93E-06,0,100,0,0,
6.11,2.80E-05,1.87E-05,2.80E-05,4.66E-05,0.000289137,0.001417704,0.00165088,0.000699525,4.66E-05,0,9.33E-06,12.31437677,0.0103639,7.17E-07,0,100,0,0,
6.12,2.80E-05,1.86E-05,2.80E-05,3.73E-05,0.000223752,0.001538295,0.00170611,0.000708548,3.73E-05,0,9.32E-06,13.92486525,0.0122413,9.28E-06,0,100,0,0,
6.13,3.73E-05,1.86E-05,3.73E-05,3.73E-05,0.000177174,0.001706464,0.001799713,0.000745995,3.73E-05,0,9.32E-06,15.66139525,0.00064402,6.98E-06,0,100,0,0,
6.14,3.73E-05,1.86E-05,3.73E-05,2.80E-05,0.000149174,0.001957906,0.001920613,0.000792486,4.66E-05,0,9.32E-06,17.51180047,0.000997365,1.93E-05,0,100,0,0,
6.15,3.73E-05,1.87E-05,3.73E-05,2.80E-05,0.000121238,0.002312839,0.00207969,0.000867315,4.66E-05,0,9.33E-06,19.49570601,0.00301152,1.27E-05,0,100,0,0,
6.16,4.67E-05,1.87E-05,4.67E-05,2.80E-05,0.000112025,0.002809962,0.002296514,0.000961549,4.67E-05,0,9.34E-06,21.63168743,0.000867386,1.06E-05,0,100,0,0,
6.17,5.60E-05,1.87E-05,4.67E-05,2.80E-05,9.33E-05,0.003481808,0.002567016,0.001101483,4.67E-05,9.33E-06,9.33E-06,23.89466587,0.00504031,9.85E-06,0,100,0,0,
6.18,6.53E-05,1.87E-05,3.73E-05,2.80E-05,8.40E-05,0.004395276,0.002920852,0.001287788,4.67E-05,9.33E-06,1.87E-05,26.31613413,0,1.62E-05,0,100,0,0,
6.19,7.47E-05,1.87E-05,3.73E-05,2.80E-05,8.40E-05,0.005581291,0.003387974,0.001539988,5.60E-05,9.33E-06,1.87E-05,28.93443129,2.79E-05,1.19E-05,0,100,0,0,
6.2,9.33E-05,1.87E-05,2.80E-05,2.80E-05,8.40E-05,0.006977583,0.003973864,0.001884321,5.60E-05,9.33E-06,2.80E-05,31.73901179,0.00724849,1.53E-05,0,100,0,0,
6.21,0.000102603,1.87E-05,2.80E-05,2.80E-05,8.39E-05,0.008366828,0.004663784,0.002350547,6.53E-05,9.33E-06,3.73E-05,34.7846147,0.0227836,1.70E-05,0,100,0,0,
6.22,0.000121245,2.80E-05,1.87E-05,2.80E-05,8.39E-05,0.009186668,0.005325469,0.002937868,7.46E-05,9.33E-06,3.73E-05,38.08043426,0.0281928,2.43E-05,0,100,0,0,
6.23,0.000149215,2.80E-05,1.87E-05,2.80E-05,8.39E-05,0.008841007,0.005754115,0.003590493,8.39E-05,9.33E-06,3.73E-05,41.63941878,0.0371396,1.32E-05,0,100,0,0,
6.24,0.000177214,2.80E-05,1.87E-05,2.80E-05,8.39E-05,0.007293773,0.005689516,0.004131895,9.33E-05,1.87E-05,2.80E-05,45.47185525,0.0567718,1.81E-05,0,100,0,0,
6.25,0.000214502,2.80E-05,1.87E-05,2.80E-05,9.33E-05,0.005250642,0.005073444,0.004290045,0.000111914,1.87E-05,1.87E-05,49.54951198,0.0553299,1.98E-05,0,100,0,0,
6.26,0.000261101,3.73E-05,1.87E-05,2.80E-05,9.33E-05,0.003478239,0.004177617,0.003963141,0.000130551,1.87E-05,1.87E-05,53.84316106,0.0661523,2.24E-05,0,100,0,0,
6.27,0.000307679,3.73E-05,9.32E-06,2.80E-05,0.00010256,0.002209691,0.003281904,0.003319199,0.000149177,2.80E-05,9.32E-06,58.30097087,0.0497765,3.04E-05,0,100,0,0,
6.28,0.000372894,4.66E-05,9.32E-06,2.80E-05,9.32E-05,0.001389029,0.002554322,0.002638223,0.000186447,3.73E-05,9.32E-06,62.8396887,0.0204318,2.23E-05,0,100,0,0,
6.29,0.000456721,4.66E-05,9.32E-06,3.73E-05,7.46E-05,0.000885479,0.002003978,0.002050582,0.0002237,5.59E-05,9.32E-06,67.33948489,0.0317428,3.13E-05,0,100,0,0,
6.3,0.000549866,5.59E-05,9.32E-06,3.73E-05,5.59E-05,0.000577825,0.001612318,0.001602999,0.000279593,7.46E-05,9.32E-06,71.66539588,0.0214349,2.43E-05,0,100,0,0,
6.31,0.000661703,6.52E-05,9.32E-06,4.66E-05,4.66E-05,0.00039143,0.001332725,0.001267487,0.000344831,9.32E-05,9.32E-06,75.65925173,0.025763,3.24E-05,0,100,0,0,
6.32,0.000782881,7.46E-05,9.32E-06,4.66E-05,2.80E-05,0.00027028,0.001127722,0.001006562,0.000438041,0.00012116,9.32E-06,79.15667684,0.024743,3.37E-05,0,100,0,0,
6.33,0.000922424,9.32E-05,9.32E-06,5.59E-05,2.80E-05,0.000195666,0.000978329,0.000819933,0.000559045,0.000139761,0,81.99401448,0.0341863,2.59E-05,0,100,0,0,
